Year,Female_15_24,Female_25_54,Female_55_64,Female_65+,Male_15_24,Male_25_54,Male_55_64,Male_65+
1995,0.027819377979870465,0.20500244934597395,0.04149188302902317,0.0061351704924762305,0.07137651788470718,0.525977288303835,0.10645623109309507,0.015741081871018758
1996,0.027228167049659822,0.20064578512217315,0.04061010721147866,0.006004787280584064,0.07196772881491782,0.5303339525276358,0.10733800691063956,0.015871465082910926
1997,0.026935876237208483,0.198491878858805,0.04017416302144449,0.005940326674416991,0.07226001962736917,0.5324878587910041,0.10777395110067377,0.015935925689078003
1998,0.026490950393019595,0.19521319707440113,0.039510567627721725,0.005842204570012539,0.07270494547155806,0.535766540575408,0.10843754649439656,0.016034047793482453
1999,0.027076892772671335,0.19953103707395584,0.040384485538318034,0.00597142587756772,0.07211900309190633,0.5314487005758534,0.10756362858380025,0.015904826485927274
2000,0.02644665535650395,0.19488678463677772,0.039444502725939835,0.005832435925969147,0.07274924050807369,0.5360929530130313,0.10850361139617842,0.016043816437525844
2001,0.02595915016719113,0.19129433343422692,0.0387174013397893,0.005724923549000646,0.07323674569738652,0.5396854042155821,0.10923071278232896,0.016151328814494343
2002,0.025788302407186017,0.19003534736733269,0.03846258632275217,0.005687245491042359,0.07340759345739163,0.5409443902824764,0.10948552779936607,0.016189006872452633
2003,0.02534399319787875,0.18676120959757847,0.03779991062401318,0.005589259376742831,0.07385190266669889,0.5442185280522306,0.11014820349810507,0.01628699298675216
2004,0.0249557081447761,0.18389991676105022,0.03722079350583352,0.005503628598003326,0.07424018771980154,0.5470798208887588,0.11072732061628472,0.016372623765491666
2005,0.02495999776373908,0.18393152718723618,0.037227191361615196,0.005504574612817341,0.07423589810083857,0.5470482104625729,0.11072092276050306,0.01637167775067765
2006,0.02513410416847496,0.1852145263773512,0.03748686656302092,0.005542971318799035,0.07406179169610269,0.5457652112724579,0.11046124755909732,0.016333281044695957
2007,0.025540251247951517,0.18820744541916637,0.038092624431741585,0.005632541314915159,0.07365564461662613,0.5427722922306427,0.10985548969037667,0.016243711048579832
2008,0.025870858699555868,0.19064370899773966,0.0385857168984537,0.005705452114112159,0.07332503716502177,0.5403360286520694,0.10936239722366457,0.016170800249382836
2009,0.024260901329047298,0.17877984904602995,0.03618450710335367,0.005350398778238299,0.07493499453553035,0.5521998886037791,0.11176360701876459,0.016525853585256694
2010,0.023260919134794694,0.17141092802728974,0.03469305951365352,0.0051298668434258295,0.07593497672978297,0.5595688096225194,0.11325505460846473,0.016746385520069164
2011,0.023741468737469032,0.17495212314860975,0.03540978682215892,0.005235845264101952,0.07545442712710863,0.5560276145011993,0.11253832729995934,0.016640407099393042
2012,0.02427119085742214,0.1788556731180485,0.03619985366890453,0.00535266798824409,0.0749247050071555,0.5521240645317605,0.11174826045321372,0.016523584375250904
2013,0.02399113381060741,0.17679191811262882,0.03578215582403185,0.005290905366122524,0.07520476205397023,0.5541878195371802,0.1121659582980864,0.016585346997372467
2014,0.025000841388271938,0.18423250598969043,0.037288108571655806,0.00551358209674531,0.07419505447630573,0.5467472316601187,0.11066000555046249,0.016362670266749684
2015,0.02440731098287331,0.17985874943208263,0.036402873316834936,0.005382687357394057,0.07478858488170435,0.5511209882177265,0.11154524080528333,0.016493565006100937
2016,0.024509738983595843,0.1806135467192443,0.036555642031791506,0.0054052764047872424,0.07468615688098182,0.5503661909305648,0.11139247209032677,0.01647097595870775
2017,0.024910088840774666,0.18356374572715728,0.03715275349333352,0.005493567905488943,0.07428580702380298,0.5474159919226519,0.11079536062878474,0.01638268445800605
2018,0.024771549057141216,0.1825428388255986,0.036946124987780854,0.005463014914936924,0.07442434680743643,0.5484368988242104,0.1110019891343374,0.016413237448558066
2019,0.025614555879117373,0.188755000127175,0.038203447868091565,0.005648928150771551,0.07358133998546026,0.542224737522634,0.10974466625402667,0.016227324212723437
2020,0.025812627748601737,0.19021460207874313,0.03849886694057881,0.005692610101170635,0.07338326811597591,0.540765135571066,0.10944924718153945,0.016183642262324355
2021,0.02768600260316828,0.20401959922882995,0.04129295710289056,0.006105756438856549,0.07150989326140937,0.5269601384209791,0.10665515701922769,0.01577049592463844
2022,0.026809107837016,0.1975577158966448,0.039985091229962716,0.005912369696054567,0.07238678802756165,0.5334220217531643,0.10796302289215556,0.015963882667440428
2023,0.026361008418761142,0.19425564787919233,0.039316762532568494,0.005813547704759067,0.07283488744581652,0.5367240897706168,0.10863135158954977,0.016062704658735927
2024,0.02814870655560889,0.20742928882149528,0.041983068085444664,0.006207799253682236,0.07104718930896875,0.5235504488283137,0.10596504603667357,0.015668453109812755
2025,0.027997494902838305,0.20631500225441055,0.04175753981468598,0.0061744516615517475,0.07119840096173935,0.5246647353953986,0.10619057430743228,0.015701800701943245
2026,0.02804028993177787,0.20663036105786012,0.04182136749394858,0.006183889500131914,0.07115560593279979,0.524349376591949,0.10612674662816969,0.01569236286336308
2027,0.028063672715367128,0.2068026700114173,0.04185624231114545,0.006189046242457806,0.07113222314921054,0.5241770676383919,0.10609187181097283,0.015687206121037193
2028,0.0280889978819002,0.20698929248633857,0.04189401414228562,0.006194631349879803,0.07110689798267746,0.5239904451634706,0.10605409997983266,0.015681621013615192
2029,0.02811412869422887,0.20717448275497655,0.0419314960991547,0.006200173595229876,0.07108176717034878,0.5238052548948325,0.10601661802296357,0.015676078768265114
