Quarter,male_share_mean,male_share_p05,male_share_p95,female_share_mean,female_share_p05,female_share_p95
1995Q2,0.7195511191526561,0.7195511191526561,0.7195511191526561,0.2804488808473439,0.2804488808473439,0.2804488808473439
1995Q3,0.7210712302488768,0.7210712302488768,0.7210712302488768,0.27892876975112324,0.27892876975112324,0.27892876975112324
1995Q4,0.7225710044929395,0.7225710044929395,0.7225710044929395,0.27742899550706046,0.27742899550706046,0.27742899550706046
1996Q1,0.7240508472887756,0.7240508472887756,0.7240508472887756,0.27594915271122444,0.27594915271122444,0.27594915271122444
1996Q2,0.7255111533361043,0.7255111533361043,0.7255111533361043,0.2744888466638957,0.2744888466638957,0.2744888466638957
1996Q3,0.7262422676065421,0.7262422676065421,0.7262422676065421,0.2737577323934579,0.2737577323934579,0.2737577323934579
1996Q4,0.7269770541371182,0.7269770541371182,0.7269770541371182,0.2730229458628818,0.2730229458628818,0.2730229458628818
1997Q1,0.7277155406651811,0.7277155406651811,0.7277155406651811,0.27228445933481893,0.27228445933481893,0.27228445933481893
1997Q2,0.7284577552081251,0.7284577552081251,0.7284577552081251,0.27154224479187494,0.27154224479187494,0.27154224479187494
1997Q3,0.7295796748739424,0.7295796748739424,0.7295796748739424,0.2704203251260576,0.2704203251260576,0.2704203251260576
1997Q4,0.7307012021464759,0.7307012021464759,0.7307012021464759,0.26929879785352406,0.26929879785352406,0.26929879785352406
1998Q1,0.73182233723155,0.73182233723155,0.73182233723155,0.26817766276845,0.26817766276845,0.26817766276845
1998Q2,0.732943080334845,0.732943080334845,0.732943080334845,0.267056919665155,0.267056919665155,0.267056919665155
1998Q3,0.7315201455942572,0.7315201455942572,0.7315201455942572,0.26847985440574285,0.26847985440574285,0.26847985440574285
1998Q4,0.7300622287726194,0.7300622287726194,0.7300622287726194,0.2699377712273806,0.2699377712273806,0.2699377712273806
1999Q1,0.7285680237920065,0.7285680237920065,0.7285680237920065,0.27143197620799353,0.27143197620799353,0.27143197620799353
1999Q2,0.7270361587374871,0.7270361587374871,0.7270361587374871,0.27296384126251294,0.27296384126251294,0.27296384126251294
1999Q3,0.7273974025974026,0.7273974025974026,0.7273974025974026,0.2726025974025974,0.2726025974025974,0.2726025974025974
1999Q4,0.7303190704148127,0.7303190704148127,0.7303190704148127,0.2696809295851873,0.2696809295851873,0.2696809295851873
2000Q1,0.7330513904908368,0.7330513904908368,0.7330513904908368,0.2669486095091632,0.2669486095091632,0.2669486095091632
2000Q2,0.7333896213548093,0.7333896213548093,0.7333896213548093,0.26661037864519066,0.26661037864519066,0.26661037864519066
2000Q3,0.7334103844560264,0.7334103844560264,0.7334103844560264,0.26658961554397365,0.26658961554397365,0.26658961554397365
2000Q4,0.7312725037323263,0.7312725037323263,0.7312725037323263,0.26872749626767367,0.26872749626767367,0.26872749626767367
2001Q1,0.7361237893799399,0.7361237893799399,0.7361237893799399,0.26387621062006006,0.26387621062006006,0.26387621062006006
2001Q2,0.738304191509792,0.738304191509792,0.738304191509792,0.261695808490208,0.261695808490208,0.261695808490208
2001Q3,0.7336716136419767,0.7336716136419767,0.7336716136419767,0.26632838635802325,0.26632838635802325,0.26632838635802325
2001Q4,0.7355386758955459,0.7355386758955459,0.7355386758955459,0.2644613241044541,0.2644613241044541,0.2644613241044541
2002Q1,0.7366815408432749,0.7366815408432749,0.7366815408432749,0.26331845915672514,0.26331845915672514,0.26331845915672514
2002Q2,0.7400265184116868,0.7400265184116868,0.7400265184116868,0.25997348158831324,0.25997348158831324,0.25997348158831324
2002Q3,0.7438266614307822,0.7438266614307822,0.7438266614307822,0.25617333856921776,0.25617333856921776,0.25617333856921776
2002Q4,0.7441000918273646,0.7441000918273646,0.7441000918273646,0.2558999081726354,0.2558999081726354,0.2558999081726354
2003Q1,0.7448882322100948,0.7448882322100948,0.7448882322100948,0.2551117677899052,0.2551117677899052,0.2551117677899052
2003Q2,0.7445056272037868,0.7445056272037868,0.7445056272037868,0.25549437279621323,0.25549437279621323,0.25549437279621323
2003Q3,0.7429148302267747,0.7429148302267747,0.7429148302267747,0.25708516977322526,0.25708516977322526,0.25708516977322526
2003Q4,0.7449118046132971,0.7449118046132971,0.7449118046132971,0.2550881953867029,0.2550881953867029,0.2550881953867029
2004Q1,0.7506669402831931,0.7506669402831931,0.7506669402831931,0.24933305971680686,0.24933305971680686,0.24933305971680686
2004Q2,0.7484199529903368,0.7484199529903368,0.7484199529903368,0.2515800470096632,0.2515800470096632,0.2515800470096632
2004Q3,0.7479099348617736,0.7479099348617736,0.7479099348617736,0.2520900651382264,0.2520900651382264,0.2520900651382264
2004Q4,0.7515513496742166,0.7515513496742166,0.7515513496742166,0.24844865032578345,0.24844865032578345,0.24844865032578345
2005Q1,0.7489227841074309,0.7489227841074309,0.7489227841074309,0.25107721589256915,0.25107721589256915,0.25107721589256915
2005Q2,0.7469333193541623,0.7469333193541623,0.7469333193541623,0.2530666806458377,0.2530666806458377,0.2530666806458377
2005Q3,0.7486912372083234,0.7486912372083234,0.7486912372083234,0.2513087627916766,0.2513087627916766,0.2513087627916766
2005Q4,0.7489812767997444,0.7489812767997444,0.7489812767997444,0.25101872320025564,0.25101872320025564,0.25101872320025564
2006Q1,0.7514769173193617,0.7514769173193617,0.7514769173193617,0.24852308268063827,0.24852308268063827,0.24852308268063827
2006Q2,0.7459505315341587,0.7459505315341587,0.7459505315341587,0.2540494684658413,0.2540494684658413,0.2540494684658413
2006Q3,0.7435130269010802,0.7435130269010802,0.7435130269010802,0.25648697309891977,0.25648697309891977,0.25648697309891977
2006Q4,0.7455078545298042,0.7455078545298042,0.7455078545298042,0.25449214547019583,0.25449214547019583,0.25449214547019583
2007Q1,0.7482886441732731,0.7482886441732731,0.7482886441732731,0.2517113558267269,0.2517113558267269,0.2517113558267269
2007Q2,0.7489308577044652,0.7489308577044652,0.7489308577044652,0.2510691422955348,0.2510691422955348,0.2510691422955348
2007Q3,0.7369062119366626,0.7369062119366626,0.7369062119366626,0.2630937880633374,0.2630937880633374,0.2630937880633374
2007Q4,0.736053288925895,0.736053288925895,0.736053288925895,0.26394671107410494,0.26394671107410494,0.26394671107410494
2008Q1,0.736694369530519,0.736694369530519,0.736694369530519,0.26330563046948097,0.26330563046948097,0.26330563046948097
2008Q2,0.7432280859177837,0.7432280859177837,0.7432280859177837,0.25677191408221633,0.25677191408221633,0.25677191408221633
2008Q3,0.7371171883828681,0.7371171883828681,0.7371171883828681,0.2628828116171319,0.2628828116171319,0.2628828116171319
2008Q4,0.7396972613526993,0.7396972613526993,0.7396972613526993,0.2603027386473007,0.2603027386473007,0.2603027386473007
2009Q1,0.750402576489533,0.750402576489533,0.750402576489533,0.249597423510467,0.249597423510467,0.249597423510467
2009Q2,0.7571577772175605,0.7571577772175605,0.7571577772175605,0.2428422227824395,0.2428422227824395,0.2428422227824395
2009Q3,0.7562822107695042,0.7562822107695042,0.7562822107695042,0.2437177892304958,0.2437177892304958,0.2437177892304958
2009Q4,0.7580207216863165,0.7580207216863165,0.7580207216863165,0.2419792783136835,0.2419792783136835,0.2419792783136835
2010Q1,0.7651760025574539,0.7651760025574539,0.7651760025574539,0.23482399744254612,0.23482399744254612,0.23482399744254612
2010Q2,0.7677298180932837,0.7677298180932837,0.7677298180932837,0.23227018190671633,0.23227018190671633,0.23227018190671633
2010Q3,0.7660907800436243,0.7660907800436243,0.7660907800436243,0.2339092199563757,0.2339092199563757,0.2339092199563757
2010Q4,0.7630699245270014,0.7630699245270014,0.7630699245270014,0.2369300754729986,0.2369300754729986,0.2369300754729986
2011Q1,0.7618964371875109,0.7618964371875109,0.7618964371875109,0.23810356281248912,0.23810356281248912,0.23810356281248912
2011Q2,0.7567039787983402,0.7567039787983402,0.7567039787983402,0.24329602120165983,0.24329602120165983,0.24329602120165983
2011Q3,0.7625901812423016,0.7625901812423016,0.7625901812423016,0.2374098187576984,0.2374098187576984,0.2374098187576984
2011Q4,0.761478707171591,0.761478707171591,0.761478707171591,0.23852129282840895,0.23852129282840895,0.23852129282840895
2012Q1,0.7551571709233792,0.7551571709233792,0.7551571709233792,0.2448428290766208,0.2448428290766208,0.2448428290766208
2012Q2,0.7542718213882136,0.7542718213882136,0.7542718213882136,0.24572817861178642,0.24572817861178642,0.24572817861178642
2012Q3,0.7564583191329834,0.7564583191329834,0.7564583191329834,0.24354168086701655,0.24354168086701655,0.24354168086701655
2012Q4,0.7553944474986256,0.7553944474986256,0.7553944474986256,0.2446055525013744,0.2446055525013744,0.2446055525013744
2013Q1,0.7621558690590331,0.7621558690590331,0.7621558690590331,0.2378441309409669,0.2378441309409669,0.2378441309409669
2013Q2,0.7592872689711144,0.7592872689711144,0.7592872689711144,0.24071273102888557,0.24071273102888557,0.24071273102888557
2013Q3,0.7587257523951386,0.7587257523951386,0.7587257523951386,0.24127424760486138,0.24127424760486138,0.24127424760486138
2013Q4,0.7526296208610951,0.7526296208610951,0.7526296208610951,0.24737037913890492,0.24737037913890492,0.24737037913890492
2014Q1,0.7466974564471762,0.7466974564471762,0.7466974564471762,0.2533025435528238,0.2533025435528238,0.2533025435528238
2014Q2,0.7472039528594798,0.7472039528594798,0.7472039528594798,0.2527960471405202,0.2527960471405202,0.2527960471405202
2014Q3,0.7470110945520781,0.7470110945520781,0.7470110945520781,0.25298890544792185,0.25298890544792185,0.25298890544792185
2014Q4,0.7499675071484273,0.7499675071484273,0.7499675071484273,0.2500324928515727,0.2500324928515727,0.2500324928515727
2015Q1,0.7534602076124567,0.7534602076124567,0.7534602076124567,0.2465397923875433,0.2465397923875433,0.2465397923875433
2015Q2,0.7544703579603889,0.7544703579603889,0.7544703579603889,0.24552964203961114,0.24552964203961114,0.24552964203961114
