Year,male_share_mean,male_share_p05,male_share_p95,female_share_mean,female_share_p05,female_share_p95
2026,0.7125759239801234,0.6944752194945383,0.7286034321632602,0.28742407601987663,0.2713965678367399,0.3055247805054617
2030,0.7126006364024915,0.6815940742011005,0.7413155073518289,0.28739936359750856,0.25868449264817106,0.3184059257988995
2035,0.712600636438859,0.6689177387471299,0.7537221323900724,0.28739936356114104,0.24627786760992762,0.33108226125287016
2050,0.712600636438859,0.6446700593678801,0.7714915862046217,0.28739936356114104,0.22850841379537837,0.35532994063211987
