,Workforce jobs by industry  (thousand),low level aggregate,growth q on q,"Output per job: Manufacturing C SIC07, 2023=100, SA, UK","Output per hour: Manufacturing C SIC07, 2023=100, SA, UK","Productivity jobs: Manufacturing C SIC07, 2023=100, SA, UK",UKManufTO: 10-33 - UK Manufacturing TOTAL (£m),,,,Date,"Spot exchange rate, US $ into Sterling              [a] [a] [a]             XUDLUSS",Date,"Spot exchange rate, Euro into Sterling              [a] [a] [a]             XUDLERS",,year,month,UK_EPolicyUncertianty_Index
1997 Q1,"4,249",35959,1.2,34.5,34.9,168.6,,,,,20 Jan 26,1.3457,20 Jan 26,1.1475,,1998,1,114
1997 Q2,"4,280",35717,1.4,35,34,168.4,,,,,19 Jan 26,1.3422,19 Jan 26,1.1531,,1998,2,71
1997 Q3,"4,284",35745,0.9,35.4,34.7,167.8,,,,,16 Jan 26,1.3378,16 Jan 26,1.1539,,1998,3,148
1997 Q4,"4,309",36164,2.2,36.2,36.6,167.7,,,,,15 Jan 26,1.3387,15 Jan 26,1.1538,,1998,4,147
1998 Q1,"4,303",36418,1.4,36.8,35.7,167.3,90525,,,,14 Jan 26,1.3457,14 Jan 26,1.1541,,1998,5,112
1998 Q2,"4,295",36403,1,37.3,36.4,167,89591,,,,13 Jan 26,1.3442,13 Jan 26,1.1536,,1998,6,85
1998 Q3,"4,303",36242,0.4,37.4,36.6,167.2,87665.4,,,,12 Jan 26,1.3475,12 Jan 26,1.1535,,1998,7,181
1998 Q4,"4,238",35818,0.6,38,38.3,165.3,91166.3,,,,09 Jan 26,1.3419,09 Jan 26,1.1527,,1998,8,141
1999 Q1,5005.339,36028,1.9,39.3,38.9,163,89053,,,,08 Jan 26,1.3442,08 Jan 26,1.1521,,1998,9,194
1999 Q2,4765.051,35965,0.8,40.1,39.9,161,88023,,,,07 Jan 26,1.3481,07 Jan 26,1.1532,,1998,10,256
1999 Q3,4812.526,36479,1.9,41.3,40.9,159.5,88153.8,,,,06 Jan 26,1.3507,06 Jan 26,1.1549,,1998,11,173
1999 Q4,4741.935,36426,0.8,41.8,41.7,158.6,93386,,,,05 Jan 26,1.3503,05 Jan 26,1.1537,,1998,12,124
2000 Q1,4681.91,36447,1.5,42.7,42.6,157.5,91233,,,,02 Jan 26,1.3497,02 Jan 26,1.1486,,1999,1,100
2000 Q2,4619.286,36762,1.4,43.8,43.3,155.7,90427.5,,,,31 Dec 25,1.3451,31 Dec 25,1.1454,,1999,2,89
2000 Q3,4585.832,36661,0.6,44.7,44.4,153.8,88260.3,,,,30 Dec 25,1.3473,30 Dec 25,1.1457,,1999,3,85
2000 Q4,4554.856,36983,1.8,46.2,46,151.3,94208.9,,,,29 Dec 25,1.35,29 Dec 25,1.1472,,1999,4,64
2001 Q1,4491.633,36526,1.2,47.3,46.9,149.7,91387.6,,,,24 Dec 25,1.3507,24 Dec 25,1.1468,,1999,5,72
2001 Q2,4478.095,36162,0.5,47.9,47.3,148.5,88033.5,,,,23 Dec 25,1.3484,23 Dec 25,1.1451,,1999,6,52
2001 Q3,4453.943,35857,0.5,49.2,48.5,145.2,85394.2,,,,22 Dec 25,1.3454,22 Dec 25,1.1437,,1999,7,81
2001 Q4,4449.907,35310,-0.7,49.3,48.8,144,88839.6,,,,19 Dec 25,1.3362,19 Dec 25,1.1411,,1999,8,73
2002 Q1,4392.562,35453,1,50.5,50.4,141.9,85176.3,,,,18 Dec 25,1.3395,18 Dec 25,1.1422,,1999,9,67
2002 Q2,4298.792,34851,-0.7,50.6,50.9,140.7,84790.7,,,,17 Dec 25,1.34,17 Dec 25,1.1401,,1999,10,123
2002 Q3,4329.058,37175,7,55.1,54.7,138.2,85949.7,,,,16 Dec 25,1.3417,16 Dec 25,1.1399,,1999,11,27
2002 Q4,4356.097,36656,-0.4,55.3,54.6,137.1,87894.6,,,,15 Dec 25,1.3394,15 Dec 25,1.1387,,1999,12,49
2003 Q1,4196.089,36738,0.4,56.5,57.3,134.8,85392.7,,,,12 Dec 25,1.3355,12 Dec 25,1.1377,,2000,1,54
2003 Q2,4140.688,36280,-0.3,57.2,57.5,132.7,85630.8,,,,11 Dec 25,1.3435,11 Dec 25,1.1428,,2000,2,58
2003 Q3,4061.207,36258,1.1,58.8,58.9,130.4,85056,,,,10 Dec 25,1.3321,10 Dec 25,1.1442,,2000,3,62
2003 Q4,3979.79,36519,1.6,60.4,59.6,129.1,90073.9,,,,09 Dec 25,1.3297,09 Dec 25,1.1434,,2000,4,114
2004 Q1,3898.554,36321,1.3,61.6,62.5,128.2,89301.4,,,,08 Dec 25,1.3312,08 Dec 25,1.1452,,2000,5,46
2004 Q2,3829.115,36245,-0.4,62.1,62.3,126.6,89251.4,,,,05 Dec 25,1.3343,05 Dec 25,1.1454,,2000,6,133
2004 Q3,3899.389,35875,-1.5,61.8,61.5,125.4,88164.8,,,,04 Dec 25,1.3373,04 Dec 25,1.1456,,2000,7,74
2004 Q4,3867.521,36413,0.2,62.4,62.2,124.4,92910.2,,,,03 Dec 25,1.3331,03 Dec 25,1.1434,,2000,8,43
2005 Q1,3782.842,36664,0.4,63.5,62.8,122.9,90243.8,,,,02 Dec 25,1.3201,02 Dec 25,1.1374,,2000,9,56
2005 Q2,3815.268,37153,2,65.8,65,120.9,93250.1,,,,01 Dec 25,1.3252,01 Dec 25,1.1396,,2000,10,56
2005 Q3,3801.454,36990,0.3,66.8,66.2,119.4,90461.4,,,,28 Nov 25,1.3252,28 Nov 25,1.1417,,2000,11,69
2005 Q4,3754.804,37399,2.7,69.4,69.4,118,92344.3,,,,27 Nov 25,1.3252,27 Nov 25,1.143,,2000,12,66
2006 Q1,3740.83,36922,2,70.6,70.6,118.3,91599.5,,,,26 Nov 25,1.3226,26 Nov 25,1.1412,,2001,1,38
2006 Q2,3772.07,37680,3.6,73.2,73.9,118.1,93407.4,,,,25 Nov 25,1.3177,25 Nov 25,1.1396,,2001,2,57
2006 Q3,3776.787,37742,0.9,73.9,74.6,118,91706,,,,24 Nov 25,1.3098,24 Nov 25,1.136,,2001,3,92
2006 Q4,3717.675,37697,0.1,74.7,73.7,117,95834.5,,,,21 Nov 25,1.3085,21 Nov 25,1.1375,,2001,4,101
2007 Q1,3695.894,37604,-1,74.9,74.4,115.5,95692.8,,,,20 Nov 25,1.3096,20 Nov 25,1.136,,2001,5,98
2007 Q2,3764.77,37558,-0.2,75.3,75.1,114.6,97678,,,,19 Nov 25,1.308,19 Nov 25,1.1328,,2001,6,75
2007 Q3,3776.76,37701,0.9,76.3,75.7,114.2,98226.2,,,,18 Nov 25,1.3144,18 Nov 25,1.1348,,2001,7,66
2007 Q4,3723.316,37880,1.2,77.8,76.3,113.3,102519,,,,17 Nov 25,1.3177,17 Nov 25,1.1362,,2001,8,105
2008 Q1,3633.694,38356,1.1,78.9,79.6,113,100781.8,,,,14 Nov 25,1.314,14 Nov 25,1.1314,,2001,9,205
2008 Q2,3566.159,38884,0.5,79.5,79.2,112.6,103685.5,,,,13 Nov 25,1.3199,13 Nov 25,1.134,,2001,10,159
2008 Q3,3539.686,39040,-0.2,80.9,80.3,110.4,101305.7,,,,12 Nov 25,1.313,12 Nov 25,1.1325,,2001,11,146
2008 Q4,3428.595,37874,-3,79.6,80.5,108.9,96057.6,,,,11 Nov 25,1.3173,11 Nov 25,1.136,,2001,12,108
2009 Q1,2856.657,36425,-4.7,77.9,78.5,106,86735.1,,,,10 Nov 25,1.3148,10 Nov 25,1.1388,,2002,1,86
2009 Q2,2776.762,35922,-0.2,79.4,79.5,103.7,87599.4,,,,07 Nov 25,1.3152,07 Nov 25,1.1365,,2002,2,71
2009 Q3,2813.441,35866,-0.3,79.5,79.8,103.2,88783.8,,,,06 Nov 25,1.3102,06 Nov 25,1.1354,,2002,3,76
2009 Q4,2798.918,36694,0.4,79.9,80.6,103.2,93905,,,,05 Nov 25,1.3042,05 Nov 25,1.1361,,2002,4,78
2010 Q1,2815.337,37313,-0.5,80.8,79.8,101.5,103572.8,,,,04 Nov 25,1.3046,04 Nov 25,1.1353,,2002,5,67
2010 Q2,2875.117,38276,0.2,81,80.3,101.5,109401.9,,,,03 Nov 25,1.3146,03 Nov 25,1.1407,,2002,6,87
2010 Q3,2888.377,38395,-1,80.3,79.1,101.3,109776.7,,,,31 Oct 25,1.3139,31 Oct 25,1.1384,,2002,7,88
2010 Q4,2901.791,38701,-0.7,79.5,77.2,101.6,115915.3,,,,30 Oct 25,1.3147,30 Oct 25,1.1368,,2002,8,94
2011 Q1,2860.014,38294,-1.8,77.8,75.3,102,112218.1,,,,29 Oct 25,1.3241,29 Oct 25,1.1353,,2002,9,127
2011 Q2,2867.708,38883,0.9,79.1,78.5,101.2,115982.4,,,,28 Oct 25,1.3278,28 Oct 25,1.1389,,2002,10,108
2011 Q3,2841.517,39221,0.1,80.1,79.2,100.1,116930.2,,,,27 Oct 25,1.3329,27 Oct 25,1.1455,,2002,11,115
2011 Q4,2883.635,39355,0.5,80.9,80.3,99.6,117776.3,,,,24 Oct 25,1.3301,24 Oct 25,1.144,,2002,12,119
2012 Q1,2850.445,39646,1.1,81,79.8,100.5,114681.3,,,,23 Oct 25,1.3322,23 Oct 25,1.1471,,2003,1,146
2012 Q2,2920.415,39823,0.2,80.2,79.5,101.8,111916.1,,,,22 Oct 25,1.3355,22 Oct 25,1.1501,,2003,2,179
2012 Q3,2934.036,40776,1.4,81.1,79.8,102.1,109401.1,,,,21 Oct 25,1.3373,21 Oct 25,1.1523,,2003,3,175
2012 Q4,2910.296,41161,0.6,82.1,80.6,101.6,112775.1,,,,20 Oct 25,1.3416,20 Oct 25,1.1512,,2003,4,154
2013 Q1,2920.516,41614,-0.1,82.7,81.7,100.7,106557.6,,,,17 Oct 25,1.3392,17 Oct 25,1.1479,,2003,5,94
2013 Q2,2710.646,42797,2.7,85.4,82.4,100.2,113701.3,,,,16 Oct 25,1.3434,16 Oct 25,1.1505,,2003,6,125
2013 Q3,2954.011,43799,1.8,86.2,83,101,114758.4,,,,15 Oct 25,1.3365,15 Oct 25,1.1497,,2003,7,81
2013 Q4,2956.791,43507,0.3,86.2,83.2,101.3,117180.1,,,,14 Oct 25,1.3297,14 Oct 25,1.1469,,2003,8,83
2014 Q1,2944.74,43799,0.7,87.1,85.3,101,114039.2,,,,13 Oct 25,1.3327,13 Oct 25,1.1526,,2003,9,65
2014 Q2,2995.338,43899,-0.4,86.6,84.4,101.2,116607.7,,,,10 Oct 25,1.3302,10 Oct 25,1.1489,,2003,10,62
2014 Q3,3019.575,44312,0.9,86.9,84.8,101.8,116669.7,,,,09 Oct 25,1.3333,09 Oct 25,1.1513,,2003,11,78
2014 Q4,3077.567,45012,1,87.2,84.1,102.5,119798.5,,,,08 Oct 25,1.3421,08 Oct 25,1.1547,,2003,12,46
2015 Q1,3005.575,45461,1,87.1,86.3,103.6,114578.3,,,,07 Oct 25,1.3431,07 Oct 25,1.1515,,2004,1,24
2015 Q2,3014.379,45642,0,88,86.5,102.6,116425.5,,,,06 Oct 25,1.348,06 Oct 25,1.1505,,2004,2,57
2015 Q3,2968.549,45200,0.2,88.6,86.8,102,114670.8,,,,03 Oct 25,1.3472,03 Oct 25,1.1475,,2004,3,62
2015 Q4,2991.49,44632,-0.2,88.4,85.8,102.2,117800.1,,,,02 Oct 25,1.3421,02 Oct 25,1.1458,,2004,4,39
2016 Q1,2872.855,44901,-0.6,87.8,85.3,102.3,114136.5,,,,01 Oct 25,1.3507,01 Oct 25,1.1498,,2004,5,43
2016 Q2,3032.901,45814,0.5,87.5,85.2,103.1,120601.8,,,,30 Sep 25,1.3462,30 Sep 25,1.1458,,2004,6,49
2016 Q3,3012.224,45655,-1.7,87,85.2,102,118154.6,,,,29 Sep 25,1.3419,29 Sep 25,1.1439,,2004,7,53
2016 Q4,2948.638,46698,-0.2,86.7,85.4,102.1,124067.5,,,,26 Sep 25,1.3402,26 Sep 25,1.1463,,2004,8,39
2017 Q1,2900.518,46876,0.1,86.3,84.3,102.8,124147.2,,,,25 Sep 25,1.3348,25 Sep 25,1.1432,,2004,9,49
2017 Q2,2908.189,46994,1.1,86.3,85.5,103.8,123985,,,,24 Sep 25,1.3451,24 Sep 25,1.1454,,2004,10,67
2017 Q3,2942.752,47546,1.9,87.4,86.3,104.5,123338.5,,,,23 Sep 25,1.3525,23 Sep 25,1.1466,,2004,11,69
2017 Q4,2943.741,48222,2.9,89.4,88.8,105.1,129347.7,,,,22 Sep 25,1.3495,22 Sep 25,1.1466,,2004,12,45
2018 Q1,2917.304,48288,1.2,89.7,90,106,126573.8,,,,19 Sep 25,1.3483,19 Sep 25,1.1468,,2005,1,44
2018 Q2,2879.597,48859,0.5,90.2,90.3,106,127697.3,,,,18 Sep 25,1.3552,18 Sep 25,1.1508,,2005,2,40
2018 Q3,2876.714,49434,0.3,90.9,90.8,105.5,126958.1,,,,17 Sep 25,1.3659,17 Sep 25,1.1527,,2005,3,34
2018 Q4,2900.651,49195,-1.6,90.2,89.2,104.7,131861.6,,,,16 Sep 25,1.3657,16 Sep 25,1.1523,,2005,4,69
2019 Q1,2949.082,50976,3.2,93.4,90.3,104.3,129480.9,,,,15 Sep 25,1.359,15 Sep 25,1.1559,,2005,5,72
2019 Q2,2917.054,50250,-1.8,90.7,90.7,105.4,126602.4,,,,12 Sep 25,1.3559,12 Sep 25,1.1564,,2005,6,59
2019 Q3,2882.815,50831,0.7,91.9,90.6,104.8,128999.5,,,,11 Sep 25,1.3557,11 Sep 25,1.156,,2005,7,47
2019 Q4,2891.343,50293,0.3,92.2,92.2,104.7,128473.7,,,,10 Sep 25,1.3551,10 Sep 25,1.1554,,2005,8,49
2020 Q1,2970.39,50219,0.9,93.6,95.7,104.1,122532.6,,,,09 Sep 25,1.354,09 Sep 25,1.1542,,2005,9,70
2020 Q2,2893.925,40305,-16.5,79.4,99.5,102.4,90959.3,,,,08 Sep 25,1.3535,08 Sep 25,1.1524,,2005,10,41
2020 Q3,2768.081,50237,23.3,99,113.6,101.3,116595.3,,,,05 Sep 25,1.352,05 Sep 25,1.152,,2005,11,48
2020 Q4,2670.763,52202,3.3,102.8,108.9,100.8,126660.6,,,,04 Sep 25,1.3427,04 Sep 25,1.154,,2005,12,33
2021 Q1,2760.058,50593,-2.3,101.6,104.9,99.7,119788.2,,,,03 Sep 25,1.3434,03 Sep 25,1.1517,,2006,1,44
2021 Q2,2589.436,51227,0.9,103,103.7,99.2,121748.8,,,,02 Sep 25,1.3397,02 Sep 25,1.1487,,2006,2,37
2021 Q3,2603.47,50708,-1.6,101.5,103.3,99,122932.6,,,,01 Sep 25,1.3548,01 Sep 25,1.1568,,2006,3,42
2021 Q4,2565.064,50305,-1,100.8,101.1,98.6,130987.2,,,,29 Aug 25,1.3509,29 Aug 25,1.1543,,2006,4,37
2022 Q1,2749.854,49769,-0.8,98.4,96.9,100.2,132557.4,,,,28 Aug 25,1.3511,28 Aug 25,1.1577,,2006,5,74
2022 Q2,2753.765,50828,-0.1,97.5,99.3,101,139541.1,,,,27 Aug 25,1.346,27 Aug 25,1.1611,,2006,6,60
2022 Q3,2666.536,51673,-0.8,97.6,97.6,100,143086.3,,,,26 Aug 25,1.3479,26 Aug 25,1.1564,,2006,7,48
2022 Q4,2666.747,53208,0.5,97.4,97.2,100.7,150977.7,,,,22 Aug 25,1.3525,22 Aug 25,1.1542,,2006,8,67
2023 Q1,2645.244,55150,0.5,97.8,96.8,100.8,151734.8,,,,21 Aug 25,1.3427,21 Aug 25,1.156,,2006,9,56
2023 Q2,2517.679,56566,1.6,100.3,100.3,99.9,153884.8,,,,20 Aug 25,1.3472,20 Aug 25,1.1551,,2006,10,65
2023 Q3,2498.408,57270,0.7,101.5,102.3,99.4,149034.3,,,,19 Aug 25,1.3503,19 Aug 25,1.1568,,2006,11,59
2023 Q4,2690.068,57350,-0.7,100.4,100.8,99.8,152907,,,,18 Aug 25,1.3516,18 Aug 25,1.1588,,2006,12,64
2024 Q1,2703.879,58153,0.7,101.8,102.3,99.1,151168.2,,,,15 Aug 25,1.356,15 Aug 25,1.1578,,2007,1,49
2024 Q2,2703.376,58095,-0.7,99.9,100.8,100.3,153440.8,,,,14 Aug 25,1.3556,14 Aug 25,1.1625,,2007,2,53
2024 Q3,2750.773,58436,0.6,99.7,99.7,101,153869.6,,,,13 Aug 25,1.3572,13 Aug 25,1.158,,2007,3,77
2024 Q4,2710.351,58226,-0.6,99.2,100.1,100.9,159515.4,,,,12 Aug 25,1.3489,12 Aug 25,1.157,,2007,4,61
2025 Q1,2678.475,59111,0.3,99.6,101.7,100.8,157301.5,,,,11 Aug 25,1.3408,11 Aug 25,1.1562,,2007,5,67
2025 Q2,2689.277,59392,0.2,99.4,99.6,101.2,160481.4,,,,08 Aug 25,1.3439,08 Aug 25,1.1529,,2007,6,53
2025 Q3,2613.682,59404,-0.8,,,,157048.6,,,,07 Aug 25,1.3404,07 Aug 25,1.1531,,2007,7,49
,,,,,,,,,,,06 Aug 25,1.3331,06 Aug 25,1.1465,,2007,8,77
,,,,,,,,,,,05 Aug 25,1.329,05 Aug 25,1.1491,,2007,9,132
,,,,,,,,,,,04 Aug 25,1.3294,04 Aug 25,1.1496,,2007,10,92
,,,,,,,,,,,01 Aug 25,1.3263,01 Aug 25,1.1478,,2007,11,132
,,,,,,,,,,,31 Jul 25,1.3232,31 Jul 25,1.1561,,2007,12,151
,,,,,,,,,,,30 Jul 25,1.3291,30 Jul 25,1.1577,,2008,1,139
,,,,,,,,,,,29 Jul 25,1.3328,29 Jul 25,1.1567,,2008,2,146
,,,,,,,,,,,28 Jul 25,1.3412,28 Jul 25,1.1525,,2008,3,169
,,,,,,,,,,,25 Jul 25,1.343,25 Jul 25,1.145,,2008,4,130
,,,,,,,,,,,24 Jul 25,1.3542,24 Jul 25,1.1509,,2008,5,113
,,,,,,,,,,,23 Jul 25,1.356,23 Jul 25,1.1557,,2008,6,107
,,,,,,,,,,,22 Jul 25,1.3501,22 Jul 25,1.1518,,2008,7,113
,,,,,,,,,,,21 Jul 25,1.3493,21 Jul 25,1.1536,,2008,8,144
,,,,,,,,,,,18 Jul 25,1.3442,18 Jul 25,1.1541,,2008,9,191
,,,,,,,,,,,17 Jul 25,1.341,17 Jul 25,1.1572,,2008,10,242
,,,,,,,,,,,16 Jul 25,1.3392,16 Jul 25,1.1552,,2008,11,170
,,,,,,,,,,,15 Jul 25,1.3397,15 Jul 25,1.153,,2008,12,123
,,,,,,,,,,,14 Jul 25,1.3447,14 Jul 25,1.151,,2009,1,129
,,,,,,,,,,,11 Jul 25,1.3505,11 Jul 25,1.1551,,2009,2,130
,,,,,,,,,,,10 Jul 25,1.3555,10 Jul 25,1.1605,,2009,3,112
,,,,,,,,,,,09 Jul 25,1.3588,09 Jul 25,1.1599,,2009,4,112
,,,,,,,,,,,08 Jul 25,1.3545,08 Jul 25,1.1584,,2009,5,117
,,,,,,,,,,,07 Jul 25,1.3636,07 Jul 25,1.1616,,2009,6,154
,,,,,,,,,,,04 Jul 25,1.3643,04 Jul 25,1.1583,,2009,7,129
,,,,,,,,,,,03 Jul 25,1.3646,03 Jul 25,1.161,,2009,8,118
,,,,,,,,,,,02 Jul 25,1.3594,02 Jul 25,1.1552,,2009,9,100
,,,,,,,,,,,01 Jul 25,1.3718,01 Jul 25,1.1646,,2009,10,108
,,,,,,,,,,,30 Jun 25,1.3703,30 Jun 25,1.1674,,2009,11,108
,,,,,,,,,,,27 Jun 25,1.3715,27 Jun 25,1.1704,,2009,12,136
,,,,,,,,,,,26 Jun 25,1.3733,26 Jun 25,1.1729,,2010,1,148
,,,,,,,,,,,25 Jun 25,1.3624,25 Jun 25,1.1724,,2010,2,143
,,,,,,,,,,,24 Jun 25,1.3623,24 Jun 25,1.1726,,2010,3,160
,,,,,,,,,,,23 Jun 25,1.3489,23 Jun 25,1.1698,,2010,4,161
,,,,,,,,,,,20 Jun 25,1.3465,20 Jun 25,1.1695,,2010,5,244
,,,,,,,,,,,19 Jun 25,1.3427,19 Jun 25,1.1707,,2010,6,184
,,,,,,,,,,,18 Jun 25,1.3452,18 Jun 25,1.169,,2010,7,143
,,,,,,,,,,,17 Jun 25,1.3512,17 Jun 25,1.1723,,2010,8,166
,,,,,,,,,,,16 Jun 25,1.3596,16 Jun 25,1.173,,2010,9,128
,,,,,,,,,,,13 Jun 25,1.3576,13 Jun 25,1.1759,,2010,10,178
,,,,,,,,,,,12 Jun 25,1.3595,12 Jun 25,1.1737,,2010,11,153
,,,,,,,,,,,11 Jun 25,1.3538,11 Jun 25,1.1792,,2010,12,123
,,,,,,,,,,,10 Jun 25,1.3515,10 Jun 25,1.183,,2011,1,124
,,,,,,,,,,,09 Jun 25,1.3545,09 Jun 25,1.1874,,2011,2,119
,,,,,,,,,,,06 Jun 25,1.3527,06 Jun 25,1.1876,,2011,3,131
,,,,,,,,,,,05 Jun 25,1.3591,05 Jun 25,1.1862,,2011,4,98
,,,,,,,,,,,04 Jun 25,1.3577,04 Jun 25,1.1876,,2011,5,94
,,,,,,,,,,,03 Jun 25,1.3529,03 Jun 25,1.1875,,2011,6,123
,,,,,,,,,,,02 Jun 25,1.3553,02 Jun 25,1.1852,,2011,7,149
,,,,,,,,,,,30 May 25,1.3482,30 May 25,1.1876,,2011,8,178
,,,,,,,,,,,29 May 25,1.3483,29 May 25,1.1879,,2011,9,153
,,,,,,,,,,,28 May 25,1.3471,28 May 25,1.1919,,2011,10,150
,,,,,,,,,,,27 May 25,1.3521,27 May 25,1.1921,,2011,11,210
,,,,,,,,,,,23 May 25,1.3496,23 May 25,1.1896,,2011,12,141
,,,,,,,,,,,22 May 25,1.3424,22 May 25,1.1903,,2012,1,137
,,,,,,,,,,,21 May 25,1.3437,21 May 25,1.1848,,2012,2,132
,,,,,,,,,,,20 May 25,1.3369,20 May 25,1.1864,,2012,3,104
,,,,,,,,,,,19 May 25,1.3367,19 May 25,1.1878,,2012,4,109
,,,,,,,,,,,16 May 25,1.3265,16 May 25,1.1893,,2012,5,152
,,,,,,,,,,,15 May 25,1.3279,15 May 25,1.187,,2012,6,170
,,,,,,,,,,,14 May 25,1.3305,14 May 25,1.1866,,2012,7,130
,,,,,,,,,,,13 May 25,1.326,13 May 25,1.188,,2012,8,98
,,,,,,,,,,,12 May 25,1.3202,12 May 25,1.1881,,2012,9,124
,,,,,,,,,,,09 May 25,1.3305,09 May 25,1.1808,,2012,10,154
,,,,,,,,,,,08 May 25,1.331,08 May 25,1.1801,,2012,11,162
,,,,,,,,,,,07 May 25,1.3366,07 May 25,1.1757,,2012,12,141
,,,,,,,,,,,06 May 25,1.3372,06 May 25,1.1791,,2013,1,188
,,,,,,,,,,,02 May 25,1.3321,02 May 25,1.1718,,2013,2,97
,,,,,,,,,,,01 May 25,1.3296,01 May 25,1.1785,,2013,3,109
,,,,,,,,,,,30 Apr 25,1.3356,30 Apr 25,1.1749,,2013,4,101
,,,,,,,,,,,29 Apr 25,1.3389,29 Apr 25,1.1762,,2013,5,73
,,,,,,,,,,,28 Apr 25,1.3393,28 Apr 25,1.1768,,2013,6,91
,,,,,,,,,,,25 Apr 25,1.3309,25 Apr 25,1.1707,,2013,7,68
,,,,,,,,,,,24 Apr 25,1.3315,24 Apr 25,1.1708,,2013,8,92
,,,,,,,,,,,23 Apr 25,1.3275,23 Apr 25,1.1692,,2013,9,94
,,,,,,,,,,,22 Apr 25,1.3379,22 Apr 25,1.1656,,2013,10,111
,,,,,,,,,,,17 Apr 25,1.3233,17 Apr 25,1.166,,2013,11,82
,,,,,,,,,,,16 Apr 25,1.3257,16 Apr 25,1.1646,,2013,12,89
,,,,,,,,,,,15 Apr 25,1.3245,15 Apr 25,1.1691,,2014,1,104
,,,,,,,,,,,14 Apr 25,1.3187,14 Apr 25,1.1601,,2014,2,118
,,,,,,,,,,,11 Apr 25,1.3059,11 Apr 25,1.1516,,2014,3,111
,,,,,,,,,,,10 Apr 25,1.296,10 Apr 25,1.1586,,2014,4,71
,,,,,,,,,,,09 Apr 25,1.2757,09 Apr 25,1.1555,,2014,5,90
,,,,,,,,,,,08 Apr 25,1.2757,08 Apr 25,1.169,,2014,6,69
,,,,,,,,,,,07 Apr 25,1.2755,07 Apr 25,1.1678,,2014,7,62
,,,,,,,,,,,04 Apr 25,1.294,04 Apr 25,1.1779,,2014,8,132
,,,,,,,,,,,03 Apr 25,1.3168,03 Apr 25,1.1843,,2014,9,176
,,,,,,,,,,,02 Apr 25,1.2966,02 Apr 25,1.1941,,2014,10,96
,,,,,,,,,,,01 Apr 25,1.2923,01 Apr 25,1.1957,,2014,11,87
,,,,,,,,,,,31 Mar 25,1.291,31 Mar 25,1.1951,,2014,12,122
,,,,,,,,,,,28 Mar 25,1.2941,28 Mar 25,1.1955,,2015,1,136
,,,,,,,,,,,27 Mar 25,1.2963,27 Mar 25,1.2003,,2015,2,119
,,,,,,,,,,,26 Mar 25,1.2887,26 Mar 25,1.1954,,2015,3,131
,,,,,,,,,,,25 Mar 25,1.2948,25 Mar 25,1.1985,,2015,4,170
,,,,,,,,,,,24 Mar 25,1.2911,24 Mar 25,1.1962,,2015,5,141
,,,,,,,,,,,21 Mar 25,1.2893,21 Mar 25,1.1931,,2015,6,149
,,,,,,,,,,,20 Mar 25,1.2972,20 Mar 25,1.196,,2015,7,136
,,,,,,,,,,,19 Mar 25,1.2967,19 Mar 25,1.192,,2015,8,86
,,,,,,,,,,,18 Mar 25,1.2985,18 Mar 25,1.1884,,2015,9,135
,,,,,,,,,,,17 Mar 25,1.2985,17 Mar 25,1.1889,,2015,10,90
,,,,,,,,,,,14 Mar 25,1.2915,14 Mar 25,1.188,,2015,11,121
,,,,,,,,,,,13 Mar 25,1.2943,13 Mar 25,1.192,,2015,12,83
,,,,,,,,,,,12 Mar 25,1.2968,12 Mar 25,1.1871,,2016,1,136
,,,,,,,,,,,11 Mar 25,1.2946,11 Mar 25,1.1848,,2016,2,191
,,,,,,,,,,,10 Mar 25,1.2904,10 Mar 25,1.1906,,2016,3,291
,,,,,,,,,,,07 Mar 25,1.2924,07 Mar 25,1.1889,,2016,4,197
,,,,,,,,,,,06 Mar 25,1.2891,06 Mar 25,1.1917,,2016,5,247
,,,,,,,,,,,05 Mar 25,1.2868,05 Mar 25,1.1953,,2016,6,504
,,,,,,,,,,,04 Mar 25,1.2716,04 Mar 25,1.208,,2016,7,558
,,,,,,,,,,,03 Mar 25,1.2699,03 Mar 25,1.2112,,2016,8,311
,,,,,,,,,,,28 Feb 25,1.2592,28 Feb 25,1.2108,,2016,9,210
,,,,,,,,,,,27 Feb 25,1.2628,27 Feb 25,1.2125,,2016,10,270
,,,,,,,,,,,26 Feb 25,1.2695,26 Feb 25,1.2084,,2016,11,359
,,,,,,,,,,,25 Feb 25,1.2655,25 Feb 25,1.2054,,2016,12,196
,,,,,,,,,,,24 Feb 25,1.2621,24 Feb 25,1.2055,,2017,1,258
,,,,,,,,,,,21 Feb 25,1.2638,21 Feb 25,1.209,,2017,2,194
,,,,,,,,,,,20 Feb 25,1.2641,20 Feb 25,1.2068,,2017,3,232
,,,,,,,,,,,19 Feb 25,1.259,19 Feb 25,1.2078,,2017,4,169
,,,,,,,,,,,18 Feb 25,1.2615,18 Feb 25,1.2053,,2017,5,159
,,,,,,,,,,,17 Feb 25,1.2607,17 Feb 25,1.2029,,2017,6,319
,,,,,,,,,,,14 Feb 25,1.2618,14 Feb 25,1.2007,,2017,7,184
,,,,,,,,,,,13 Feb 25,1.2523,13 Feb 25,1.2003,,2017,8,151
,,,,,,,,,,,12 Feb 25,1.2434,12 Feb 25,1.1985,,2017,9,141
,,,,,,,,,,,11 Feb 25,1.2406,11 Feb 25,1.1998,,2017,10,184
,,,,,,,,,,,10 Feb 25,1.239,10 Feb 25,1.2011,,2017,11,215
