time,Age (Aggregate bands): 15-24,Age (Aggregate bands): 25-54,Age (Aggregate bands): 55-64,Age (Aggregate bands): 65+,Age (Aggregate bands): 15-24_share_percent,Age (Aggregate bands): 25-54_share_percent,Age (Aggregate bands): 55-64_share_percent,Age (Aggregate bands): 65+_share_percent,total,calculated_total,difference_total_vs_calculated
2004Q4,393.862,2853.674,560.739,59.246,10.183836105867298,73.78561098957186,14.498667234127494,1.5318856704333343,3867.521,3867.521,0.0
2005Q1,390.922,2793.934,539.012,58.974,10.334082153047893,73.85806755872966,14.248863685028345,1.5589866031941064,3782.842,3782.8420000000006,-4.547473508864641e-13
2005Q2,394.831,2823.566,537.028,59.843,10.348709448458143,74.00701602089289,14.075760863981246,1.5685136666677153,3815.268,3815.268,0.0
2005Q3,400.568,2802.939,541.627,56.32,10.537231280452163,73.73333992730149,14.247890412457966,1.4815383797883652,3801.454,3801.4539999999997,4.547473508864641e-13
2005Q4,385.43,2760.001,542.207,67.166,10.264983205514856,73.50586075864413,14.44035427681445,1.7888017590265697,3754.804,3754.804,0.0
2006Q1,349.586,2781.51,543.168,66.566,9.345145328710473,74.35542379632328,14.519986206269733,1.779444668696519,3740.83,3740.8300000000004,-4.547473508864641e-13
2006Q2,350.669,2786.422,568.902,66.077,9.296460564093454,73.86983804648376,15.081957651899355,1.7517437375234284,3772.07,3772.0699999999997,4.547473508864641e-13
2006Q3,373.746,2745.133,590.667,67.241,9.89587180849754,72.68434783322436,15.639404605025383,1.7803757532526987,3776.787,3776.787,0.0
2006Q4,354.587,2713.51,580.144,69.434,9.53786977075726,72.98943560155205,15.605021955926754,1.8676726717639383,3717.675,3717.675,0.0
2007Q1,341.98,2712.913,571.36,69.641,9.252970999709408,73.4034309425541,15.459317826755855,1.8842802309806506,3695.894,3695.8940000000002,-4.547473508864641e-13
2007Q2,382.307,2737.592,577.944,66.927,10.154856737596187,72.71604905478954,15.3513760468767,1.777718160737575,3764.77,3764.7700000000004,-4.547473508864641e-13
2007Q3,400.456,2728.674,581.032,66.598,10.60316249907328,72.24907063197026,15.384403562842225,1.7633633061142355,3776.76,3776.76,0.0
2007Q4,385.211,2685.484,586.579,66.042,10.345912084819018,72.12613702409358,15.754209419775275,1.7737414713121316,3723.316,3723.3159999999993,4.547473508864641e-13
2008Q1,348.594,2643.284,577.944,63.872,9.593377978442874,72.74371479821912,15.905136756149526,1.7577704671884864,3633.694,3633.694,0.0
2008Q2,351.131,2593.148,566.814,55.066,9.846195865075,72.71543416880739,15.894243638603886,1.54412632751372,3566.159,3566.1589999999997,4.547473508864641e-13
2008Q3,359.458,2569.549,551.373,59.306,10.155081552431486,72.59256894538103,15.576890153533393,1.6754593486540896,3539.686,3539.686,0.0
2008Q4,338.359,2495.593,528.875,65.768,9.868736319104473,72.787628751719,15.425414783606698,1.9182201455698327,3428.595,3428.595,0.0
2009Q1,231.897,2120.016,448.702,56.042,8.117775427711482,74.21317995125071,15.707241016334827,1.9618036047029799,2856.657,2856.6569999999997,4.547473508864641e-13
2009Q2,215.182,2063.103,440.174,58.303,7.749385795397661,74.29887761356572,15.852060781586609,2.0996758094499994,2776.762,2776.7619999999997,4.547473508864641e-13
2009Q3,238.771,2074.082,437.178,63.41,8.486796062188615,73.72047254589664,15.538907693461496,2.2538236984532465,2813.441,2813.441,0.0
2009Q4,218.908,2056.798,454.762,68.45,7.821165178829818,73.4854683131124,16.247778605875556,2.4455879021822002,2798.918,2798.9179999999997,4.547473508864641e-13
2010Q1,209.11,2065.854,468.823,71.55,7.427529990193003,73.37856888891099,16.652464696055922,2.5414364248400814,2815.337,2815.337,0.0
2010Q2,233.015,2098.688,474.021,69.393,8.10453974568687,72.99487290430268,16.487016006652947,2.4135713433575052,2875.117,2875.117,0.0
2010Q3,255.033,2101.315,461.984,70.045,8.829629927118239,72.75071779064852,15.994587964105794,2.4250643181274465,2888.377,2888.377,0.0
2010Q4,256.989,2113.612,456.424,74.766,8.856220175746632,72.8381885532073,15.729044579709564,2.5765466913364885,2901.791,2901.791,0.0
