time,Education (Aggregate levels): Basic and below basic,Education (Aggregate levels): Intermediate,Education (Aggregate levels): Advanced,Education (Aggregate levels): Level not stated,Education (Aggregate levels): Basic and below basic_share_percent,Education (Aggregate levels): Intermediate_share_percent,Education (Aggregate levels): Advanced_share_percent,Education (Aggregate levels): Level not stated_share_percent,total,calculated_total,difference_total_vs_calculated
2003Q1,1168.32,1703.274,938.36,386.135,27.84307005880952,40.591941686651545,22.36272872191224,9.202259532626691,4196.089,4196.089,0.0
2003Q2,1166.781,1659.757,949.895,364.255,28.17843314927374,40.084087475318114,22.940511335314323,8.79696804009382,4140.688,4140.688,0.0
2003Q3,1140.518,1943.945,947.93,28.814,28.083227473999727,47.86618854936476,23.341090468917244,0.7094935077182719,4061.207,4061.207,0.0
2003Q4,1126.299,1898.44,921.102,33.949,28.300463089761017,47.70201442789695,23.144487523211023,0.8530349591310095,3979.79,3979.79,0.0
2004Q1,1105.901,1863.382,897.611,31.66,28.36695349096101,47.79674720421982,23.02420333282545,0.8120959719937186,3898.554,3898.554,0.0
2004Q2,1091.12,1821.913,893.516,22.566,28.4953572822963,47.58052448150552,23.334791459645377,0.5893267765528066,3829.115,3829.115,0.0
2004Q3,1096.797,1852.218,924.621,25.753,28.127406627038237,47.50021093048167,23.71194564071448,0.6604368017656099,3899.389,3899.3890000000006,-4.547473508864641e-13
2004Q4,1103.525,1816.379,913.562,34.055,28.533135308121143,46.96494214252488,23.62138434413155,0.8805382052224151,3867.521,3867.5209999999997,4.547473508864641e-13
2005Q1,931.643,1038.736,452.539,1359.924,24.62812351137055,27.459143152159143,11.962936860698912,35.94979647577139,3782.842,3782.842,0.0
2005Q2,1198.844,1471.003,661.729,483.692,31.42227492275772,38.55569254899001,17.34423374714437,12.677798781107906,3815.268,3815.268,0.0
2005Q3,1183.3,1472.957,680.695,464.502,31.127563295517973,38.74720041331553,17.90617484783454,12.219061443331945,3801.454,3801.454,0.0
