time,male_thousands,female_thousands,male_share_percent,female_share_percent,total,calculated_total,difference_total_vs_calculated
1995Q2,3539.333,1379.49,71.95487619700891,28.04512380299108,4918.823,4918.823,0.0
1996Q2,3665.568,1386.765,72.55197300891034,27.448007198257287,5052.334,5052.3330000000005,0.0009999999992942321
1997Q2,3643.61,1358.237,72.84529094952326,27.154709050476754,5001.847,5001.847,0.0
1997Q4,3610.1,1355.7,72.69926295863708,27.300737041362922,4965.8,4965.8,0.0
1998Q2,3668.673,1336.667,73.29519539036217,26.704824588304604,5005.339,5005.34,-0.0010000000002037268
1999Q2,3464.381,1300.67,72.70396476344115,27.29603523655885,4765.051,4765.0509999999995,9.094947017729282e-13
1999Q3,3500.607,1311.919,72.73949273209122,27.26050726790879,4812.526,4812.526,0.0
1999Q4,3463.149,1278.786,73.03240132983686,26.967598670163127,4741.935,4741.9349999999995,9.094947017729282e-13
2000Q1,3432.061,1249.849,73.30471965501259,26.69528034498741,4681.91,4681.91,0.0
2000Q2,3387.716,1231.57,73.33852028213884,26.66147971786116,4619.286,4619.286,0.0
2000Q3,3363.277,1222.555,73.34060645919868,26.659393540801318,4585.832,4585.832,0.0
2000Q4,3330.849,1224.007,73.12742708002186,26.872572919978154,4554.856,4554.856,0.0
2001Q1,3306.322,1185.311,73.61068903002538,26.389310969974616,4491.633,4491.633,0.0
2001Q2,3306.222,1171.873,73.83099286638627,26.169007133613736,4478.095,4478.095,0.0
2001Q3,3267.653,1186.29,73.36539780594407,26.63460219405592,4453.943,4453.942999999999,9.094947017729282e-13
2001Q4,3273.03,1176.877,73.55277312537095,26.447226874629067,4449.907,4449.907,0.0
2002Q1,3235.83,1156.732,73.66612013672203,26.33387986327797,4392.562,4392.562,0.0
2002Q2,3181.302,1117.49,74.004557559426,25.995442440574003,4298.792,4298.792,0.0
2002Q3,3220.069,1108.989,74.38267170363622,25.617328296363784,4329.058,4329.058,0.0
2002Q4,3241.321,1114.776,74.40883433036501,25.591165669635004,4356.097,4356.097,0.0
2003Q1,3125.669,1070.42,74.49005490588975,25.509945094110254,4196.089,4196.089,0.0
2003Q2,3082.734,1057.954,74.44980157886805,25.55019842113195,4140.688,4140.688,0.0
2003Q3,3017.067,1044.14,74.28990937915748,25.710090620842525,4061.207,4061.2070000000003,-4.547473508864641e-13
2003Q4,2964.642,1015.148,74.49242296704097,25.507577032959027,3979.79,3979.79,0.0
2004Q1,2926.491,972.063,75.0660629556497,24.933937044350287,3898.554,3898.554,0.0
2004Q2,2865.742,963.373,74.8408444248867,25.159155575113314,3829.115,3829.1150000000002,-4.547473508864641e-13
2004Q3,2916.414,982.975,74.7915634987943,25.2084365012057,3899.389,3899.389,0.0
2004Q4,2906.613,960.908,75.15442062240902,24.84557937759097,3867.521,3867.5209999999997,4.547473508864641e-13
2005Q1,2832.967,949.875,74.88991081308708,25.11008918691291,3782.842,3782.842,0.0
2005Q2,2849.711,965.557,74.6922889820584,25.307711017941596,3815.268,3815.268,0.0
2005Q3,2846.11,955.344,74.86898434125469,25.13101565874531,3801.454,3801.454,0.0
2005Q4,2812.301,942.503,74.89874305023643,25.101256949763556,3754.804,3754.804,0.0
2006Q1,2811.128,929.702,75.14717322091622,24.852826779083788,3740.83,3740.83,0.0
2006Q2,2813.795,958.275,74.59551386904273,25.40448613095727,3772.07,3772.07,0.0
2006Q3,2808.045,968.742,74.35010234890133,25.649897651098673,3776.787,3776.7870000000003,-4.547473508864641e-13
2006Q4,2771.463,946.212,74.54828622727915,25.45171377272085,3717.675,3717.675,0.0
2007Q1,2765.626,930.268,74.82968937961967,25.17031062038035,3695.894,3695.8940000000002,-4.547473508864641e-13
2007Q2,2819.49,945.28,74.89142763037316,25.10857236962683,3764.77,3764.7699999999995,4.547473508864641e-13
2007Q3,2783.134,993.626,73.6910473527574,26.308952647242606,3776.76,3776.76,0.0
2007Q4,2740.483,982.833,73.60328803679302,26.396711963206993,3723.316,3723.3160000000003,-4.547473508864641e-13
2008Q1,2676.952,956.742,73.67026502506816,26.329734974931846,3633.694,3633.6940000000004,-4.547473508864641e-13
2008Q2,2650.495,915.664,74.32352287152646,25.67647712847352,3566.159,3566.1589999999997,4.547473508864641e-13
2008Q3,2609.126,930.56,73.71066247119094,26.28933752880905,3539.686,3539.686,0.0
2008Q4,2536.191,892.404,73.9717289443635,26.02827105563649,3428.595,3428.595,0.0
2009Q1,2143.623,713.034,75.03956547810955,24.960434521890445,2856.657,2856.657,0.0
2009Q2,2102.421,674.341,75.71484340393594,24.28515659606405,2776.762,2776.7619999999997,4.547473508864641e-13
2009Q3,2127.686,685.755,75.62575508070012,24.37424491929989,2813.441,2813.4410000000003,-4.547473508864641e-13
2009Q4,2121.715,677.203,75.8048288660118,24.195171133988204,2798.918,2798.918,0.0
2010Q1,2154.177,661.16,76.51577768487397,23.48422231512604,2815.337,2815.337,0.0
2010Q2,2207.359,667.758,76.77457995622439,23.22542004377561,2875.117,2875.117,0.0
2010Q3,2212.713,675.664,76.60748579565619,23.392514204343822,2888.377,2888.3770000000004,-4.547473508864641e-13
2010Q4,2214.238,687.553,76.30590900585189,23.694090994148095,2901.791,2901.7909999999997,4.547473508864641e-13
2011Q1,2179.106,680.908,76.19214451397791,23.807855486022095,2860.014,2860.014,0.0
2011Q2,2170.013,697.695,75.67064010701229,24.32935989298771,2867.708,2867.708,0.0
2011Q3,2166.945,674.572,76.26014554901485,23.739854450985163,2841.517,2841.5170000000003,-4.547473508864641e-13
2011Q4,2195.737,687.898,76.144761733021,23.855238266979004,2883.635,2883.635,0.0
2012Q1,2152.488,697.957,75.51410393815702,24.485896061842976,2850.445,2850.4449999999997,4.547473508864641e-13
2012Q2,2202.798,717.617,75.42756765733637,24.572432342663628,2920.415,2920.415,0.0
2012Q3,2219.499,714.537,75.64661783291001,24.353382167089975,2934.036,2934.036,0.0
2012Q4,2198.447,711.849,75.54032304617813,24.459676953821884,2910.296,2910.2960000000003,-4.547473508864641e-13
2013Q1,2225.894,694.622,76.21577830766891,23.78422169233108,2920.516,2920.5159999999996,4.547473508864641e-13
2013Q2,2058.186,652.46,75.92972302543379,24.07027697456621,2710.646,2710.646,0.0
