Year,Sex,Less than basic,,Basic and below basic, Intermediate,Advanced, Level not stated,15-24, 25-54,55-64, 65+,Place of birth: Foreign-born,Place of birth: Native-born,Place of birth: Status unknown,total for education levels,total for age ,total for place of born
2001,Male,,872.6,872.6,1415.3,736.6,281.7,357.9,2480.4,425.8,42.1,199.7,3105.1,,3306.2,3306.2,3304.8
2001,Female,,524.1,524.1,342.8,215.8,89.3,141.2,895.7,123.2,11.8,92.9,1078.2,,1172,1171.9,1171.1
2000,Male,,879.6,879.6,1478.9,731.9,297.3,364.3,2553.9,436.8,32.6,193.9,3193.8,,3387.7,3387.6,3387.7
2000,Female,,529.7,529.7,373.4,214.2,114.2,149.7,950.2,120.7,10.9,97.6,1134,,1231.5,1231.5,1231.6
1999,Male,,912.8,912.8,1497.3,724.6,329.7,404.2,2559.9,464,36.3,196.4,3268,,3464.4,3464.4,3464.4
1999,Female,,615.3,615.3,369.2,198.8,117.4,186.5,970.4,134.9,8.9,106.2,1194.5,,1300.7,1300.7,1300.7
1998,Male,,,,,,,449.3,2750.7,433.6,35,205.7,3462.9,,0,3668.6,3668.6
1998,Female,,,,,,,182.4,1025.9,118.1,10.3,94.3,1242.4,,0,1336.7,1336.7
1997,Male,,1425.5,1425.5,1488,727.1,3,461,2719.3,429.8,33.5,204.4,3438.8,,3643.6,3643.6,3643.2
1997,Female,,757.8,757.8,416,184.2,,192.7,1040.8,113,11.7,103.8,1254.5,,1358,1358.2,1358.3
1996,Male,,1473.3,1473.3,1458.6,719.5,14.2,458.7,2740.7,427.6,38.5,201.2,3451,13.4,3665.6,3665.5,3665.6
1996,Female,,814.8,814.8,388.4,179.9,3.7,224.4,1020.4,128.3,13.7,96.4,1282.9,7.4,1386.8,1386.8,1386.7
1995,Male,,1409.3,1409.3,1430.7,691.2,8.1,468.6,2622.7,405.3,42.8,185.1,3346.7,7.5,3539.3,3539.4,3539.3
1995,Female,,799.7,799.7,411.1,166.3,2.3,223.4,1008.6,131.1,16.4,103.7,1272,3.9,1379.4,1379.5,1379.6
